,number,value,datetime_start,datetime_complete,duration,params_activation_l0,params_activation_l1,params_activation_l2,params_activation_l3,params_activation_l4,params_lr,params_n_layers,params_n_units_l0,params_n_units_l1,params_n_units_l2,params_n_units_l3,params_n_units_l4,state
0,0,0.011165332980453968,2023-11-07 17:28:23.199764,2023-11-07 17:28:25.470179,0 days 00:00:02.270415,<class 'torch.nn.modules.activation.Sigmoid'>,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Sigmoid'>,<class 'torch.nn.modules.activation.Sigmoid'>,0.0024679039459600356,5,93,99.0,55.0,96.0,90.0,COMPLETE
1,1,0.01702740602195263,2023-11-07 17:28:25.471012,2023-11-07 17:28:26.110621,0 days 00:00:00.639609,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,,,0.07536070722816335,3,16,54.0,19.0,,,COMPLETE
2,2,0.007685355842113495,2023-11-07 17:28:26.111356,2023-11-07 17:28:26.367107,0 days 00:00:00.255751,<class 'torch.nn.modules.activation.ReLU'>,,,,,0.0018895609615205806,1,32,,,,,COMPLETE
3,3,0.012273728847503662,2023-11-07 17:28:26.367984,2023-11-07 17:28:27.035226,0 days 00:00:00.667242,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Sigmoid'>,,,0.0015287262180218243,3,36,67.0,1.0,,,COMPLETE
4,4,0.0010441015474498272,2023-11-07 17:28:27.035838,2023-11-07 17:28:27.760994,0 days 00:00:00.725156,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.Tanh'>,0.009327479709827427,5,26,11.0,20.0,11.0,4.0,COMPLETE
5,5,0.017993701621890068,2023-11-07 17:28:27.762109,2023-11-07 17:28:28.006331,0 days 00:00:00.244222,<class 'torch.nn.modules.activation.ReLU'>,,,,,0.00047180877891246165,1,15,,,,,COMPLETE
6,6,0.029845289885997772,2023-11-07 17:28:28.006981,2023-11-07 17:28:28.892562,0 days 00:00:00.885581,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.Sigmoid'>,<class 'torch.nn.modules.activation.ReLU'>,,,5.7443345448335375e-05,3,58,28.0,92.0,,,COMPLETE
7,7,0.01193296443670988,2023-11-07 17:28:28.893317,2023-11-07 17:28:29.355108,0 days 00:00:00.461791,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.Sigmoid'>,,,,0.003450967665972794,2,48,37.0,,,,COMPLETE
8,8,0.03937975689768791,2023-11-07 17:28:29.355947,2023-11-07 17:28:30.253708,0 days 00:00:00.897761,<class 'torch.nn.modules.activation.Sigmoid'>,<class 'torch.nn.modules.activation.Sigmoid'>,<class 'torch.nn.modules.activation.ReLU'>,,,5.459666036108897e-05,3,67,69.0,27.0,,,COMPLETE
9,9,0.01275236438959837,2023-11-07 17:28:30.254452,2023-11-07 17:28:30.743090,0 days 00:00:00.488638,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.Tanh'>,,,0.0001650794761218413,3,23,4.0,58.0,,,COMPLETE
10,10,0.06637408584356308,2023-11-07 17:28:30.744003,2023-11-07 17:28:31.470255,0 days 00:00:00.726252,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Sigmoid'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.Tanh'>,1.4957288960021163e-05,5,4,1.0,34.0,7.0,8.0,COMPLETE
11,11,0.012453068979084492,2023-11-07 17:28:31.471142,2023-11-07 17:28:31.728081,0 days 00:00:00.256939,<class 'torch.nn.modules.activation.Tanh'>,,,,,0.011884857310552733,1,37,,,,,COMPLETE
12,12,0.041106805205345154,2023-11-07 17:28:31.728839,2023-11-07 17:28:32.474328,0 days 00:00:00.745489,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.Tanh'>,,0.01297399348958664,4,36,21.0,79.0,2.0,,COMPLETE
13,13,0.012535219080746174,2023-11-07 17:28:32.475102,2023-11-07 17:28:33.198872,0 days 00:00:00.723770,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Tanh'>,,,,0.000584299221479274,2,74,96.0,,,,COMPLETE
14,14,0.041106805205345154,2023-11-07 17:28:33.199712,2023-11-07 17:28:33.762633,0 days 00:00:00.562921,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,,0.007221933863173873,4,3,15.0,2.0,46.0,,COMPLETE
15,15,0.012813831679522991,2023-11-07 17:28:33.763413,2023-11-07 17:28:34.186106,0 days 00:00:00.422693,<class 'torch.nn.modules.activation.Sigmoid'>,<class 'torch.nn.modules.activation.Tanh'>,,,,0.04367614424303465,2,27,43.0,,,,COMPLETE
16,16,0.0011476849904283881,2023-11-07 17:28:34.186912,2023-11-07 17:28:35.056109,0 days 00:00:00.869197,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.ReLU'>,,0.025965795307572762,4,49,58.0,33.0,44.0,,COMPLETE
17,17,0.0011740492191165686,2023-11-07 17:28:35.056824,2023-11-07 17:28:35.966998,0 days 00:00:00.910174,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.ReLU'>,,0.027539949220327056,4,50,59.0,42.0,41.0,,COMPLETE
18,18,0.041106805205345154,2023-11-07 17:28:35.968009,2023-11-07 17:28:37.292115,0 days 00:00:01.324106,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.Tanh'>,0.09903364968020319,5,79,83.0,20.0,29.0,3.0,COMPLETE
19,19,0.0012855809181928635,2023-11-07 17:28:37.293048,2023-11-07 17:28:38.411809,0 days 00:00:01.118761,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.ReLU'>,,0.021709985551439562,4,61,37.0,42.0,81.0,,COMPLETE
20,20,0.0013377401046454906,2023-11-07 17:28:38.413096,2023-11-07 17:28:39.945072,0 days 00:00:01.531976,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Sigmoid'>,<class 'torch.nn.modules.activation.Sigmoid'>,<class 'torch.nn.modules.activation.ReLU'>,0.00475038212614889,5,45,78.0,70.0,68.0,46.0,COMPLETE
